image_id,file_name,url,captions
285421,000000285421.jpg,http://images.cocodataset.org/train2017/000000285421.jpg,A black cat drinking water from a toilet|A cat is drinking water out of a toilet.|A cat drinking water from a toilet in a bathroom.|A black cat is inside a white toilet.|A cat puts her head inside of a toilet. 
141172,000000141172.jpg,http://images.cocodataset.org/train2017/000000141172.jpg,A door with a sticker of a cat door on it|A picture of a cat door is on the bottom corner of a blue door.|A blue door with a picture of a cat door with cats backside hanging out on it.|A blue door with a painting of a cat's rear end entering thru a cat door.|A painting on a door of a cat going through a cat door.
548498,000000548498.jpg,http://images.cocodataset.org/train2017/000000548498.jpg,A small white cat on a large bowl.|A cat is curled up in a bowl
446409,000000446409.jpg,http://images.cocodataset.org/train2017/000000446409.jpg,A cat is resting underneath a bicycle wheel.|a cat laying down next to a bike tire|A cat is laying on a small piece of rough fabric|A cat is falling asleep on top of a scratching pad.|A tabby cat laying on a cat scratcher in front of a bicycle wheel. 
536321,000000536321.jpg,http://images.cocodataset.org/train2017/000000536321.jpg,A cat sits behind a bicycle tire and peddles.|A cat sitting under a bicycle with a red blanket in the background.|A multi-colored cat peers from a blanket between the wheels of a bicycle.|A cat on a red sheet is right under a bicycle wheel.|An adorable caleco cat sitting underneath a bicycle.
148272,000000148272.jpg,http://images.cocodataset.org/train2017/000000148272.jpg,An adorable cat attempts to hide in a purse to steal the persons identity.|A cat laying in a purse with a funny saying.|A cat sits in the bottom of a purse with text at the bottom.|A captioned image of a small cat hiding in a purse.
231846,000000231846.jpg,http://images.cocodataset.org/train2017/000000231846.jpg,a cat sitting in a bathroom sink looking at the floor.|A brown cat sitting in a bathroom sink.|A yellow stripped cat sitting in a bathroom sink.|An orange tabby cat lying in a bathroom sink.|closeup of a cat in a bathroom sink
181586,000000181586.jpg,http://images.cocodataset.org/train2017/000000181586.jpg,A black and white cat looking out a window over another cat.|One cat is looking out a window and another cat is out on the ledge.|A cat inside a window looking out near another cat.|A black and white cat sits near a window looking outside.|A cat sitting in front of a window looking outside.
552979,000000552979.jpg,http://images.cocodataset.org/train2017/000000552979.jpg,A cat looking inside of a barn door.|A cat in a field looking inside a barn.|A black and white picture of a cat in a barn doorway.|A cat is at an opening between two doors.|A cat looking inside of a door from the outside.
510150,000000510150.jpg,http://images.cocodataset.org/train2017/000000510150.jpg,A cat laying on a bowl on a table in front of a fish tank.|A stoic looking cat sits in a green bowl.|A black and white cat curls up in a large mixing bowl.|A cat resting inside a bowl next to different household items. |A black and white cat sitting in a green bowl.
568265,000000568265.jpg,http://images.cocodataset.org/train2017/000000568265.jpg,A man flying a cat in a park next to a tree.
